Id;Name
39;ADM
22;AfD
31;B
32;BGD
23;BIG
15;BP
13;Bündnis 21/RRP
17;BüSo
1;CDU
42;Christliche Mitte
6;CSU
26;DIE FRAUEN
4;DIE LINKE
30;Die PARTEI
25;DIE RECHTE
18;DIE VIOLETTEN
33;DKP
38;DVU
12;FAMILIE
3;FDP
40;Freie Union
27;FREIE WÄHLER
5;GRÜNE
19;MLPD
34;NEIN!
28;Nichtwähler
8;NPD
11;ÖDP
29;PARTEI DER VERNUNFT
36;Parteilos
16;PBC
7;PIRATEN
24;pro Deutschland
21;PSG
14;RENTNER
10;REP
2;SPD
9;Tierschutzpartei
20;Volksabstimmung
43;ZENTRUM
